asin,brand,description,listPrice/currency,listPrice/value,price,price/currency,price/value,reviewsCount,stars,thumbnailImage,title,url
B07YDGQQN5,Brand: FUR JADEN,,₹,2500,,₹,849,5379,4.3,https://m.media-amazon.com/images/I/41glcjipPHL._SX342_SY445_.jpg,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/dp/B07YDGQQN5
B0BTD4S4XF,Brand: American Tourister,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",₹,2500,,₹,1299,414,4.3,https://m.media-amazon.com/images/I/31+gFc+EjwL._SX342_SY445_.jpg,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/dp/B0BTD4S4XF
B0B46TCF5N,Brand: Amazon Brand - Solimo,,₹,999,,₹,499,108,4.4,https://m.media-amazon.com/images/I/51DpaoiUahL._SY445_SX342_.jpg,Amazon Brand - Solimo 8L Polyester Canvas Backpack,https://www.amazon.in/dp/B0B46TCF5N
B09SB5DP5Y,MosQuick,,₹,700,,₹,420,63,4.2,https://m.media-amazon.com/images/I/31g-YM+kPHL._SY445_SX342_.jpg,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",https://www.amazon.in/dp/B09SB5DP5Y
B09W3XLDM2,Brand: AmazonBasics,,₹,1999,,₹,709,602,4.2,https://m.media-amazon.com/images/I/51ePzrcBEEL._SX300_SY300_QL70_FMwebp_.jpg,AmazonBasics Laptop Backpack,https://www.amazon.in/dp/B09W3XLDM2
B0C6KJ53NB,SOKKER,,₹,399,,₹,299,,,https://m.media-amazon.com/images/I/41Q3uHEqz9L._SX300_SY300_QL70_ML2_.jpg,Sokker Nylon 35 LTR Rain and Dust Cover with Pouch for Laptop Bag/Casual Bag (Black),https://www.amazon.in/dp/B0C6KJ53NB
B09QJ7ZF2Y,TRUE HUMAN,,₹,2100,,₹,689,2208,3.8,https://m.media-amazon.com/images/I/41jiPVOTx1L._SX342_SY445_.jpg,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",https://www.amazon.in/dp/B09QJ7ZF2Y
B0BR1C59R8,uppercase,,₹,2500,,₹,1900,63,4.6,https://m.media-amazon.com/images/I/41WsIsDS3LL._SX342_SY445_.jpg,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/dp/B0BR1C59R8
B07M9BRCQ5,Brand: FUR JADEN,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹,4000,,₹,899,6175,4.3,https://m.media-amazon.com/images/I/41+RhjMFhuL._SY300_SX300_.jpg,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/dp/B07M9BRCQ5
B0BPVLXD53,ADISA,,₹,1799,,₹,599,223,3.8,https://m.media-amazon.com/images/I/51S61p4YNVL._SX300_SY300_QL70_FMwebp_.jpg,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://www.amazon.in/dp/B0BPVLXD53
